Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
Bright & Herby Lemongrass Chicken Green Curry,1.00 full recipe,2901.76,0,0,359.34,1958.53,1391.03,1.57,1.5,77.53,9.39,4.48,1.75,389.17,1673.99,347.03,22.68,7.41,326.59,419.54,2.17,22.34,610.62,12.54,2094.31,4574.65,152.48,6147.62,14.36,230.59,257.86,26.45,16.65,4.57,181.65,36.39,0.81,132.24,385.55,15.57,9.06,94.4,0.45,0.75,0.44,0.14,0.05,7.56,0.36,7.04,2.25,5.21,8.9,13.14,13.7,4.57,7.28,177.17,7.34,2.06,5.81,8.92,
"Thai Lettuce Wraps (Larb Gai, Laab Gai)",1.00 full recipe,1057.18,0,0,185.12,55.97,593.23,0.62,1.25,27.43,5.43,2.78,2.71,144.55,258.52,32.23,0,6.64,165.2,168.72,0.55,8.76,212.35,0.89,897.45,3041.4,56.33,3138.19,7.58,29.72,35.18,5.34,4.07,1.07,10.68,15.17,10.2,66.17,390.09,36.47,11.09,13.97,0.3,0.84,0.66,0.11,0.04,9.77,0,9.65,0.9,2.53,3.82,6.52,7.22,2.12,3.35,85.04,3.51,0.71,2.86,4.04,
35 Minute Chili Honey Garlic Salmon Bowls,1.00 full recipe,3051.79,0.05,0,73.66,328.47,914.56,1.93,3.37,60.8,15.34,6.93,21.64,491.83,264.29,261.8,1766.99,15.26,370.71,338.05,2.23,11.63,380.95,3.07,1813.99,5575.87,260.61,8030.3,8.18,94.45,114.36,19.39,13.96,5.29,9.45,75.92,66.33,230.25,494.21,72.75,32.07,31.6,0.09,0.84,2.82,7.59,2.18,13.77,0,14.91,1.69,4.4,6.92,12.12,13.38,4.26,6.11,156.41,6.57,1.75,5.02,7.84,
One Pan Southwest Chicken and Rice Fajita Skillet,1.00 full recipe,4225.71,0,0,648.76,2697.19,2027,2.79,4.9,76.67,15.87,6.3,13.66,1133.94,981.16,539.29,111.96,21.03,180.65,1904.53,3.43,36.74,893.4,11.21,4030.61,7068.67,312.45,8206.47,42.63,282.4,362.25,78.48,61.61,11.78,224.08,35.11,0.55,179.51,1052.06,77.28,26.98,58.44,2.75,2.38,2.14,0.04,0.1,22.19,0.59,20.91,2.82,7.93,10.83,22.44,21.62,7.17,11.84,304.38,11.43,3.89,9.66,12.72,
Better Than Chipotle DIY Chicken Burrito Bowls,1.00 full recipe,3109.07,0,0,345.44,2228.63,1735.45,2.41,2.95,51.33,10.78,3.81,8.83,831.07,585.75,55.69,74.64,6.71,77.33,1413.28,2.49,21.88,734.84,8.82,3025.86,4720.82,232.91,4998.05,30.47,300.89,364.21,62.43,51.12,5.7,267.64,24.5,0,88.97,701.38,23.43,14.78,40.83,1.75,1.51,1.31,0.02,0.07,11.43,0.39,10.07,2.03,5.63,7.84,16.33,14.97,4.99,8.71,216.84,8.08,2.75,6.89,9.41,
Greek Sheet-Pan Chicken,1.00 full recipe,3018.09,0,0,104.55,98.4,1200.43,0.76,3.14,42.05,8.26,3.76,11.16,307.95,627.29,347.77,56,30.46,392.93,737.39,1.31,15.76,286.4,1.51,1791.91,3130.58,195.26,4218.12,24.25,43.94,56.93,12.27,8.43,2.99,1.95,26.59,0,229.75,782.57,142.27,28.55,47.31,1.88,2.28,2.14,0.03,0.07,25.54,0.49,25.03,1.68,4.99,5.95,13.35,15.11,4.72,6.38,186.6,6.9,2.05,5.84,6.95,
Sesame Ginger Sweet Teriyaki Salmon with Garlic Quinoa Stir-fry,1.00 full recipe,2463.47,1.15,0,460.98,2637.72,858.8,2.03,2.76,44.77,10.97,5.91,14.42,529.26,313.14,351.31,1156.66,15.35,97.08,447.85,2.89,20.9,661.81,4.11,2172.11,4557.78,187.74,11759.91,9.15,220.01,237.87,17.36,13.27,3.97,78.4,138.5,110.38,109.29,249.48,62.6,25.09,15.46,0.11,0.99,2.25,5.12,1.46,12.41,0,13.18,1.65,3.75,6.01,10.38,10.72,3.41,5.51,134.84,5.5,1.58,4.26,6.89,
30-Minute Mediterranean Chicken Bowls,1.00 full recipe,2682.22,0,0,272,2823.56,1381.39,2.09,1.78,49.62,11.53,3.78,2.54,308.62,93.61,62.67,0,9.24,102.32,332.32,2.42,17.13,696.24,12.99,2310.17,5077.98,108.81,2711.89,16.56,338.38,370.1,31.01,23.24,3.19,291.61,27.76,0,82.52,390.09,41.36,15.6,17.41,0.34,0.94,0.69,0.1,0.04,13.96,0,13.77,1.44,3.5,5.47,9.66,9.02,2.94,5.52,125.81,4.93,1.22,4.17,6.1,
20-Minute Tofu Stir-Fry,1.00 full recipe,1470.03,0,0,192.21,2183.19,595.86,1.03,1.12,20.68,6.93,1.57,0,222.15,273.67,242.27,1.57,6.12,140.47,1099.39,1.48,11.7,449.84,9.35,1215.08,2375.07,75.27,1096.15,9.57,192.44,211.03,17.8,15.35,2.3,139.35,41.86,14.43,50.31,0,18.54,19,9.01,0.03,1.12,1.11,0,0,17.35,0.01,17.34,0.42,1.49,2.64,4.67,2.74,0.88,2.95,60.21,2.44,0.76,2.28,3.04,
Sheet Pan Sesame Chicken and Vegetables,1.00 full recipe,2619.36,0,0,487.7,3322.14,1015.66,1.57,3.87,53.27,9.84,4.9,11.23,624.57,388.3,204.65,68.04,12.86,211.91,436.62,2.88,26.05,670.21,5.39,2593.18,3940.66,238.26,3452.41,32.38,180.86,204.59,22.78,17.94,4.71,95.91,80.66,54.49,97.82,870.9,39.26,32.1,20.17,0.57,1.47,1.22,0.11,0.08,29.87,0.59,29.25,2.27,6.11,6.83,15.4,17.49,5.66,7.66,228.63,8.15,2.43,6.34,7.76,
Overnight Oats,1.00 serving,550.09,0,0,60.66,333.62,295.31,0.9,0.52,2.37,1.45,0.43,0.95,106.35,144.04,4.73,66.46,0.78,18.56,413.98,0.96,7.41,264.32,5.78,714.2,917.96,12,90.22,4.88,64.22,81.65,17.32,4.41,1.02,1.29,16.48,7.93,16.11,0,3.47,8.73,2.36,0.02,2.3,2.21,0,0,4.93,0,3.03,0.51,0.65,1.05,1.85,1.25,0.45,1.3,25.44,0.89,0.36,0.85,1.26,
